Date,Consumption
2009-07-01,108637.2762
2009-07-02,108638.8474
2009-07-03,108633.8275
2009-07-04,109082.4222
2009-07-05,109071.758
2009-07-06,109071.758
2009-07-07,109373.0604
2009-07-08,109982.4894
2009-07-09,110118.0528
2009-07-10,110273.6161
2009-07-11,110438.7989
2009-07-12,110438.7989
2009-07-13,110438.7989
2009-07-14,110340.7991
2009-07-15,110420.2059
2009-07-16,109923.9532
2009-07-17,109903.7392
2009-07-18,109737.5018
2009-07-19,109737.5018
2009-07-20,109737.7123
2009-07-21,109618.6759
2009-07-22,109556.6182
2009-07-23,109505.1084
2009-07-24,109530.6607
2009-07-25,109528.8456
2009-07-26,109534.9851
2009-07-27,109536.0235
2009-07-28,109575.0334
2009-07-29,109516.3574
2009-07-30,109747.1531
2009-07-31,110043.5173
2009-08-01,110457.8569
2009-08-02,110464.1779
2009-08-03,110464.1779
2009-08-04,110464.2179
2009-08-05,110517.8262
2009-08-06,110843.3334
2009-08-07,110705.4238
2009-08-08,110431.8834
2009-08-09,110419.1158
2009-08-10,110421.3141
2009-08-11,110344.1681
2009-08-12,110406.1556
2009-08-13,110424.0001
2009-08-14,110490.9258
2009-08-15,110534.4655
2009-08-16,110534.4655
2009-08-17,110535.877
2009-08-18,110611.7252
2009-08-19,111028.8759
2009-08-20,111077.1456
2009-08-21,111242.0645
2009-08-22,111472.2132
2009-08-23,111483.0164
2009-08-24,111485.6813
2009-08-25,111693.6969
2009-08-26,111876.3132
2009-08-27,111885.0042
2009-08-28,113216.3694
2009-08-29,113257.4724
2009-08-30,113257.4724
2009-08-31,113262.6887
2009-09-01,115357.4941
2009-09-02,115541.8683
2009-09-03,114675.362
2009-09-04,114626.5142
2009-09-05,114696.3142
2009-09-06,114696.3142
2009-09-07,114696.3142
2009-09-08,114701.7868
2009-09-09,114893.2937
2009-09-10,114723.4223
2009-09-11,114674.3361
2009-09-12,114580.3667
2009-09-13,114580.3667
2009-09-14,114581.0816
2009-09-15,114468.8253
2009-09-16,114303.7491
2009-09-17,114156.3788
2009-09-18,112775.6858
2009-09-19,112708.0339
2009-09-20,112708.0339
2009-09-21,112708.235
